company,attack_vector,mitre_attack_technique,data_compromised,operational_impact,attacker_named,confidence,filed_date,source_url
"Cencora, Inc.",unknown_unauthorized_access,,['personal information'],None reported; the incident has not had a material impact on operations and information systems continue to be operational.,,low,2024-02-27,https://www.sec.gov/Archives/edgar/data/1140859/000110465924028288/tm247267d1_8k.htm
First American Financial Corporation,unknown_unauthorized_access,,[],"Isolated systems from the Internet, disruption to normal operations, and primary website may be inaccessible or inoperative.",,medium,2023-12-22,https://www.sec.gov/Archives/edgar/data/1472787/000095017023072513/faf-20231220.htm
"Prudential Financial, Inc.",unknown_unauthorized_access,,"['administrative and user data', 'employee and contractor user accounts']",,,medium,2024-02-13,https://www.sec.gov/Archives/edgar/data/1137774/000119312524033753/d770643d8k.htm
Microsoft Corporation,other,T1114,"['personal information', 'email communications']",The incident has not had a material impact on the Company's operations as of the date of the filing.,nation-state associated threat actor (Midnight Blizzard),high,2024-01-19,https://www.sec.gov/Archives/edgar/data/789019/000119312524011295/d708866d8k.htm
Meta Materials Inc.,insider,,[],"Website, email system, and other related IT systems were significantly disrupted and taken offline, impacting delivery and receipt of electronic email communications from customers, investors, and stakeholders.",,high,2024-08-01,https://www.sec.gov/Archives/edgar/data/1431959/000095017024089345/mmat-20240725.htm
HALLIBURTON COMPANY,unknown_unauthorized_access,,[],Disruptions and limitation of access to portions of the company's business applications supporting aspects of operations and corporate functions; systems proactively taken offline.,,medium,2024-09-03,https://www.sec.gov/Archives/edgar/data/45012/000004501224000052/hal-20240830.htm
"Upbound Group, Inc",unknown_unauthorized_access,,"['non-sensitive customer information', 'other documents']",Elevated fraudulent contract losses of approximately $13 million in the Company's Acima segment during the second quarter of 2026 due to information being used to facilitate fraudulent lease-to-own agreements.,,high,2026-07-22,https://www.sec.gov/Archives/edgar/data/933036/000119312526310605/upbd-20260721.htm
BayFirst Financial Corp.,third_party_vendor,,"['name', 'date of birth', 'social security/tax identification numbers']",None quantified; incident was limited to the third-party provider's environment.,,high,2025-10-30,https://www.sec.gov/Archives/edgar/data/1649739/000164973925000246/bafn-20251028.htm
Hewlett Packard Enterprise Company,unknown_unauthorized_access,T1566,[],,Midnight Blizzard,high,2024-01-24,https://www.sec.gov/Archives/edgar/data/1645590/000164559024000009/hpe-20240119.htm
UNITEDHEALTH GROUP INCORPORATED,unknown_unauthorized_access,,[],"Disruption to pharmacy, medical claims, and payment services related to Change Healthcare.",,low,2024-03-08,https://www.sec.gov/Archives/edgar/data/731766/000073176624000085/unh-20240221.htm
"Prudential Financial, Inc.",unknown_unauthorized_access,,"['client information', 'personally identifiable information', 'Company administrative data', 'user data', 'employee and contractor user accounts']","As of the date of this Report, the incident has not had a material impact on the Company’s operations.",,high,2024-02-21,https://www.sec.gov/Archives/edgar/data/1137774/000119312524040749/d766318d8ka.htm
"ZOOMCAR HOLDINGS, INC.",unknown_unauthorized_access,,['PII'],"To date, the incident has not resulted in any material disruption to the Company’s operations.",,high,2025-06-13,https://www.sec.gov/Archives/edgar/data/1854275/000121390025054319/ea0245724-8k_zoomcar.htm
"MarineMax, Inc.",unknown_unauthorized_access,,"['PII', 'customer information', 'employee information']","Containment measures resulted in some disruption to a portion of the Company's business, though operations continued in all material respects.",,medium,2024-04-01,https://www.sec.gov/Archives/edgar/data/1057060/000095017024038881/hzo-20240310.htm
Nucor Corporation,unknown_unauthorized_access,,[],"Temporarily and proactively halted certain production operations at various locations, with operations currently in the process of being restarted.",,medium,2025-05-14,https://www.sec.gov/Archives/edgar/data/73309/000119312525119311/d795264d8k.htm
Key Tronic Corporation,unknown_unauthorized_access,,['PII'],"Halted domestic and Mexico operations for approximately two weeks; disruptions and limitation of access to business applications supporting operations, corporate functions, and financial/operating reporting systems.",,high,2024-06-14,https://www.sec.gov/Archives/edgar/data/719733/000071973324000035/ktcc-20240506.htm
"WEST PHARMACEUTICAL SERVICES, INC.",ransomware,T1486,[],"Systems taken offline globally for containment; core enterprise systems and critical processes for manufacturing, receiving, and shipping temporarily disrupted before being restarted and fully restored.",,medium,2026-05-20,https://www.sec.gov/Archives/edgar/data/105770/000010577026000077/wst-20260507.htm
Trio-Tech International,ransomware,T1486,[],Network taken offline proactively; no material disruption to operations reported as of the filing date.,,medium,2026-03-20,https://www.sec.gov/Archives/edgar/data/732026/000143774926009193/trt20260320_8k.htm
SENSATA TECHNOLOGIES HOLDING PLC,ransomware,T1486,[],"Temporarily impacted operations, including shipping, receiving, manufacturing production, and various other support functions.",,high,2025-04-09,https://www.sec.gov/Archives/edgar/data/1477294/000147729425000047/st-20250406.htm
First American Financial Corporation,unknown_unauthorized_access,,[],"Certain transactions planned for the fourth quarter of 2023 were delayed, resulting in revenue recognition being pushed to the first quarter of 2024. Other transactions were moved to alternative providers, causing a loss of revenue. Receipt of notices of title policy issuance from agents was delayed, delaying related revenue recognition. The company also incurred one-time expenses and temporarily isolated systems from the internet.",,medium,2024-01-12,https://www.sec.gov/Archives/edgar/data/1472787/000095017024004247/faf-20231220.htm
"Radiant Logistics, Inc.",unknown_unauthorized_access,,[],Service delays for customers in Canada due to network isolation and security protocols,,medium,2024-03-20,https://www.sec.gov/Archives/edgar/data/1171155/000095017024033954/rlgt-20240319.htm
Key Tronic Corporation,unknown_unauthorized_access,,['PII'],"Disruptions and limitation of access to IT systems supporting business applications, financial and operating reporting systems; domestic and Mexico operations halted for approximately two weeks.",,high,2024-08-06,https://www.sec.gov/Archives/edgar/data/719733/000071973324000047/ktcc-20240506.htm
"OraSure Technologies, Inc.",unknown_unauthorized_access,T1567,[],,,medium,2024-04-12,https://www.sec.gov/Archives/edgar/data/1116463/000119312524094797/d825009d8k.htm
"Sonic Automotive, Inc.",third_party_vendor,,[],"Disruptions in access to information systems provided by CDK Global, including the dealer management system (DMS), customer relationship management system (CRM), and other systems supporting sales, inventory, and accounting functions, resulting in a slower rate of vehicle sales.",,high,2024-07-05,https://www.sec.gov/Archives/edgar/data/1043509/000104350924000060/sah-20240705.htm
Microsoft Corporation,unknown_unauthorized_access,,"['employee email accounts', 'source code']",,Midnight Blizzard,medium,2024-03-08,https://www.sec.gov/Archives/edgar/data/789019/000119312524062997/d808756d8ka.htm
ENGlobal Corporation,ransomware,T1486,['PII'],"Limited ability to access portions of business applications supporting operations and corporate functions, including financial and operating reporting systems, for approximately six weeks.",,high,2025-01-27,https://www.sec.gov/Archives/edgar/data/933738/000165495425000798/eng_8ka.htm
Jewett-Cameron Trading Co. Ltd.,ransomware,T1486,"['IT related information', 'financial information']","Disruptions and limitation of access to portions of business applications supporting aspects of operations and corporate functions, which were voluntarily taken offline as a precautionary measure.",,high,2025-10-21,https://www.sec.gov/Archives/edgar/data/885307/000107997325001631/jctc_8k.htm
"Krispy Kreme, Inc.",unknown_unauthorized_access,,[],Operational disruptions including online ordering in parts of the United States,,medium,2024-12-11,https://www.sec.gov/Archives/edgar/data/1857154/000185715424000123/dnut-20241211.htm
"Able Laboratories, Inc.",insufficient_data,,[],,,low,2006-07-21,https://www.sec.gov/Archives/edgar/data/857171/000091412106002441/ab92071-8k.txt
"Cencora, Inc.",unknown_unauthorized_access,T1567,"['PII', 'PHI']","The incident has not had a material impact on the Company’s operations, and its information systems have continued to be fully operational.",,medium,2024-07-31,https://www.sec.gov/Archives/edgar/data/1140859/000110465924084351/tm2420501d1_8ka.htm
SouthState Corporation,unknown_unauthorized_access,,['PII'],significant impact on certain of SouthState's business processes,,low,2024-03-29,https://www.sec.gov/Archives/edgar/data/764038/000155837024004390/ssb-20240206x8ka.htm
V.F. Corporation,ransomware,T1486,['personal data'],Disruption of business operations through encryption of some IT systems and data theft; proactive shutdown of some systems; impact on the ability to fulfill orders on brand e-commerce sites; operational disruptions at VF-operated retail stores globally despite them remaining open.,,high,2023-12-18,https://www.sec.gov/Archives/edgar/data/103379/000095012323011228/d659095d8k.htm
CONDUENT INCORPORATED,unknown_unauthorized_access,,['PII'],"Operational disruption that was resolved within days or hours, with no material impact to operations.",,high,2025-04-14,https://www.sec.gov/Archives/edgar/data/1677703/000167770325000067/cndt-20250409.htm
"Coupang, Inc.",insider,,"['name', 'phone number', 'delivery address', 'email address', 'order histories']","Operations have not been materially disrupted, though management's attention has been diverted and the former chief executive officer of the Korean subsidiary resigned.",,high,2025-12-16,https://www.sec.gov/Archives/edgar/data/1834584/000183458425000196/cpng-20251215.htm
"The Oncology Institute, Inc.",third_party_vendor,,"['patient personal information', 'healthcare and other personal information']",None stated; operations have continued in all material respects.,,medium,2026-05-22,https://www.sec.gov/Archives/edgar/data/1799191/000107997326000721/toi_8k.htm
"B. Riley Financial, Inc.",unknown_unauthorized_access,,[],temporary interruption in the business operations of the Targus network due to proactive containment measures,,medium,2024-04-08,https://www.sec.gov/Archives/edgar/data/1464790/000121390024031252/ea0203500-8k_briley.htm
"CRIMSON WINE GROUP, LTD.",unknown_unauthorized_access,,['PII'],"Shutting down certain systems to isolate operations from the Internet, resulting in disruption to business operations and limitation of access to portions of business applications supporting operations and corporate functions, including financial and operating reporting systems.",,high,2024-07-25,https://www.sec.gov/Archives/edgar/data/1562151/000156215124000032/cwgl-20240725.htm
"West Pharmaceutical Services, Inc.",ransomware,T1486,[],"Temporarily disrupted business operations globally due to proactive containment (taking systems offline); core enterprise systems restored, critical processes for shipping, receiving, and manufacturing restarted at some sites with restoration of remaining sites in process.",,medium,2026-05-11,https://www.sec.gov/Archives/edgar/data/105770/000010577026000068/wst-20260507.htm
"Dropbox, Inc.",unknown_unauthorized_access,,"['emails', 'usernames', 'general account settings', 'phone numbers', 'hashed passwords', 'API keys', 'OAuth tokens', 'multi-factor authentication information']","None reported that materially impacted overall business operations or financial condition, limited to Dropbox Sign infrastructure.",,high,2024-05-01,https://www.sec.gov/Archives/edgar/data/1467623/000146762324000024/dbx-20240429.htm
"BASSETT FURNITURE INDUSTRIES, INCORPORATED",ransomware,T1486,[],"Manufacturing facilities shut down, order fulfillment impacted, and business operations disrupted due to data encryption and system containment measures.",,high,2024-07-15,https://www.sec.gov/Archives/edgar/data/10329/000143774924022743/bset20240715_8k.htm
"Bassett Furniture Industries, Incorporated",unknown_unauthorized_access,,[],"Disruption to certain operations, including interrupted manufacturing at domestic plants, delayed order fulfillment for the retail network, and delayed wholesale shipments.",,medium,2024-08-06,https://www.sec.gov/Archives/edgar/data/10329/000143774924024679/bset20240805_8ka.htm
"Coinbase Global, Inc.",insider,,"['PII', 'SSN', 'financial records', 'health records', 'Government-ID images', 'Account data', 'Corporate data']","None reported as of the date of the filing, though preliminary estimated expenses range from $180 million to $400 million.",,high,2025-05-15,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000094/coin-20250514.htm
"UFP Technologies, Inc.",unknown_unauthorized_access,,[],Affected functions such as billing and label making for customer deliveries; certain IT systems impacted.,,medium,2026-02-24,https://www.sec.gov/Archives/edgar/data/914156/000162828026011152/ufpt-20260219.htm
"Coupang, Inc.",unknown_unauthorized_access,,['customer account data'],,,medium,2025-12-29,https://www.sec.gov/Archives/edgar/data/1834584/000183458425000202/cpng-20251215.htm
Brandywine Realty Trust,ransomware,T1486,"['personal information', 'sensitive information']","Disruptions to and limitation of access to portions of business applications supporting corporate functions and operations, including financial and operating reporting systems; temporary shutdown of some systems.",,high,2024-05-07,https://www.sec.gov/Archives/edgar/data/790816/000119312524133132/d824906d8k.htm
Stryker Corporation,insufficient_data,,[],"Disruptions to business operations, global manufacturing network, and commercial, ordering, and distribution systems; impact on first quarter 2026 financial results.",,low,2026-04-09,https://www.sec.gov/Archives/edgar/data/310764/000119312526149607/d112875d8ka.htm
V.F. Corporation,unknown_unauthorized_access,,['PII'],"Disruption to operations including interrupted replenishment of retail store inventory, delayed order fulfillment, customer/consumer cancellations of product orders, reduced demand on e-commerce sites, and delayed wholesale shipments.",,high,2024-01-18,https://www.sec.gov/Archives/edgar/data/103379/000119312524010243/d641969d8ka.htm
SouthState Corporation,unknown_unauthorized_access,,,"Proactively isolated parts of the network, resulting in some disruption to business processes.",,low,2024-02-09,https://www.sec.gov/Archives/edgar/data/764038/000095010324002017/dp206600_8k.htm
Local Financial Corporation,insufficient_data,,[],,,high,2002-07-19,https://www.sec.gov/Archives/edgar/data/1047125/000095013402008606/d98407exv99.txt
"iLearningEngines, Inc.",unknown_unauthorized_access,,[],"Misdirected a $250,000 wire payment (unrecovered), deleted email messages, diversion of management’s attention, potential litigation, changes in customer or investor behavior, and regulatory scrutiny.",,medium,2024-11-18,https://www.sec.gov/Archives/edgar/data/1835972/000121390024099394/ea0221424-8k_ilearning.htm
"GLOBAL NUTECH, INC.",insufficient_data,,,,,low,2011-12-30,https://www.sec.gov/Archives/edgar/data/1429627/000114420411072392/v244309_ex2-1.htm
Cincinnati Financial Corporation,insufficient_data,,[],,,low,2005-02-02,https://www.sec.gov/Archives/edgar/data/20286/000127528705000360/cf1953ex991.txt
,insufficient_data,,[],,,low,2025-02-20,https://www.sec.gov/Archives/edgar/data/1750735/000110465925015733/tm256723d2_ex10-1.htm
"Global Nutech, Inc.",insufficient_data,,[],,,low,2012-02-09,https://www.sec.gov/Archives/edgar/data/1429627/000114420412007007/v301795_ex2-1.htm
The Scotts Company,insufficient_data,,,,,low,2002-09-13,https://www.sec.gov/Archives/edgar/data/825542/000095012302008900/l96214aexv13.txt
The Scotts Company,insufficient_data,,[],,,low,2002-06-24,https://www.sec.gov/Archives/edgar/data/825542/000095015202004984/l94887aexv13.txt
,insufficient_data,,[],,,low,2014-02-18,https://www.sec.gov/Archives/edgar/data/61398/000006139814000006/ex101-mpntshareandsalede.htm
"CID Holdco, Inc.",insufficient_data,,[],,,low,2026-07-22,https://www.sec.gov/Archives/edgar/data/2033770/000121390026080208/ea029882601ex10-1.htm
Equifax Inc.,unknown_unauthorized_access,,,,,low,2019-07-24,https://www.sec.gov/Archives/edgar/data/33185/000003318519000022/exhibit99120190630.htm
Equifax Inc.,insufficient_data,,[],,,low,2019-05-10,https://www.sec.gov/Archives/edgar/data/33185/000003318519000014/exhibit99120190331.htm
Equifax Inc.,insufficient_data,,[],,,low,2020-04-20,https://www.sec.gov/Archives/edgar/data/33185/000003318520000024/exhibit99120200331.htm
Equifax Inc.,insufficient_data,,[],,,low,2020-02-12,https://www.sec.gov/Archives/edgar/data/33185/000003318520000004/a2019q48-kexhibit991.htm
Equifax Inc.,insufficient_data,,[],,,low,2020-07-22,https://www.sec.gov/Archives/edgar/data/33185/000003318520000038/exhibit99120200630.htm
Equifax Inc.,insufficient_data,,[],,,low,2021-02-11,https://www.sec.gov/Archives/edgar/data/33185/000003318521000017/a2020q48-kaexhibit991.htm
Molson Coors Beverage Company,insufficient_data,,[],"Systems outages causing delays and disruptions in brewery operations, production, and shipments in the U.K., Canada, and the U.S.; shifting between 1.8 and 2.0 million hectoliters of production and shipments and between $120 million to $140 million of underlying EBITDA from the first quarter 2021 to the balance of the fiscal year.",,medium,2021-03-26,https://www.sec.gov/Archives/edgar/data/24545/000115752321000389/a52402019ex99_1.htm
Equifax Inc.,insufficient_data,,[],,,low,2018-10-24,https://www.sec.gov/Archives/edgar/data/33185/000003318518000039/exhibit99120180930.htm
Equifax Inc.,insufficient_data,,[],,,low,2019-10-23,https://www.sec.gov/Archives/edgar/data/33185/000003318519000030/exhibit99120190930.htm
Equifax Inc.,insufficient_data,,[],,,low,2019-02-20,https://www.sec.gov/Archives/edgar/data/33185/000003318519000004/a2018q48-kexhibit991.htm
Equifax Inc.,insufficient_data,,[],,,low,2021-02-10,https://www.sec.gov/Archives/edgar/data/33185/000003318521000013/a2020q48-kexhibit991.htm
Equifax Inc.,insufficient_data,,[],,,low,2018-04-25,https://www.sec.gov/Archives/edgar/data/33185/000003318518000017/exhibit99120180331.htm
NioCorp Developments Ltd.,unknown_unauthorized_access,,[],misdirected vendor payments totaling approximately $0.5 million,,high,2025-02-19,https://www.sec.gov/Archives/edgar/data/1512228/000153949725000735/n2574_x251-8k.htm
Equifax Inc.,insufficient_data,,[],,,low,2018-07-25,https://www.sec.gov/Archives/edgar/data/33185/000003318518000025/exhibit99120180630.htm
Equifax Inc.,insufficient_data,,[],,,low,2022-02-09,https://www.sec.gov/Archives/edgar/data/33185/000003318522000006/a2021q48-kexhibit991.htm
Equifax Inc.,insufficient_data,,[],,,low,2020-10-21,https://www.sec.gov/Archives/edgar/data/33185/000003318520000049/exhibit99120200930.htm
"loanDepot, Inc.",unknown_unauthorized_access,,['sensitive personal information'],Recording approximately $12 to $17 million of expenses in the first quarter of 2024 (net of expected insurance recovery) and named as a defendant in several lawsuits seeking monetary and injunctive relief.,,medium,2024-02-27,https://www.sec.gov/Archives/edgar/data/1831631/000183163124000020/ldi-20240104.htm
Equifax Inc.,insufficient_data,,[],,,low,2021-04-21,https://www.sec.gov/Archives/edgar/data/33185/000003318521000030/exhibit99120210331.htm
"INOTIV, INC.",ransomware,T1486,[],"Disruptions to certain business operations, temporarily impacted the availability of and access to certain networks and systems, including access to portions of internal data storage and certain internal business applications.",,medium,2025-08-18,https://www.sec.gov/Archives/edgar/data/720154/000162828025040658/notv-20250808.htm
"INOTIV, INC.",insufficient_data,,"['PII', 'health records']","disruptions to certain business operations of the Company, affecting networks, systems, and functions",,medium,2025-09-25,https://www.sec.gov/Archives/edgar/data/720154/000162828025042837/notv-20250821.htm
Stryker Corporation,insufficient_data,,[],"Global disruption to the Company's Microsoft environment, including order processing, manufacturing, and shipping.",,medium,2026-03-12,https://www.sec.gov/Archives/edgar/data/310764/000119312526104431/d101097d8k.htm
Equifax Inc.,insufficient_data,,[],,,low,2017-11-09,https://www.sec.gov/Archives/edgar/data/33185/000003318517000033/exhibit99120170930.htm
"loanDepot, Inc.",insufficient_data,,[],"Incident affected certain of the Company's systems, involving delays in verifying information technology systems.",,low,2024-01-22,https://www.sec.gov/Archives/edgar/data/1831631/000183163124000011/ldi-20240104.htm
"Popular, Inc.",third_party_vendor,,"['personal information', 'debit card numbers']",,,high,2026-06-09,https://www.sec.gov/Archives/edgar/data/763901/000119312526263044/d46942d8k.htm
Equifax Inc.,insufficient_data,,[],,,low,2018-03-01,https://www.sec.gov/Archives/edgar/data/33185/000003318518000013/a2017q48-kexhibit991.htm
"loanDepot, Inc.",unknown_unauthorized_access,,[],,,low,2025-11-06,https://www.sec.gov/Archives/edgar/data/1831631/000183163125000218/a3q25investorpresentatio.htm
Equifax,insufficient_data,,[],,,high,2023-04-19,https://www.sec.gov/Archives/edgar/data/33185/000003318523000019/exhibit99120230331.htm
Stryker Corporation,unknown_unauthorized_access,,[],"Global disruption to the company's Microsoft environment, causing disruptions and limitations of access to certain information systems and business applications supporting operations and corporate functions.",,medium,2026-03-11,https://www.sec.gov/Archives/edgar/data/310764/000119312526102460/d76279d8k.htm
Stryker Corporation,unknown_unauthorized_access,,[],"Disruption to the Company's corporate network environment, including but not limited to the Microsoft environment.",,medium,2026-03-23,https://www.sec.gov/Archives/edgar/data/310764/000119312526118634/d94012d8k.htm
ADT Inc.,unknown_unauthorized_access,,"['customer order information', 'email addresses', 'phone numbers', 'postal addresses']",None reported; the company stated the incident has not materially impacted operations.,,high,2024-08-08,https://www.sec.gov/Archives/edgar/data/1703056/000095015724001064/form8k.htm
Equifax Inc.,insufficient_data,,[],,,low,2021-07-21,https://www.sec.gov/Archives/edgar/data/33185/000003318521000039/exhibit99120210630.htm
